"","variavel","nivel","cod_munic_ibge_2_fam_eq","ano_atual_familia","n"
"1","cod_abaste_agua_domic_fam_eq","Não informado",0,2003,11
"2","cod_abaste_agua_domic_fam_eq","Não informado",0,2004,39
"3","cod_abaste_agua_domic_fam_eq","Não informado",0,2005,5
"4","cod_abaste_agua_domic_fam_eq","Não informado",0,2006,6
"5","cod_abaste_agua_domic_fam_eq","Não informado",11,2001,25174
"6","cod_abaste_agua_domic_fam_eq","Não informado",11,2002,1
"7","cod_abaste_agua_domic_fam_eq","Não informado",11,2003,128
"8","cod_abaste_agua_domic_fam_eq","Não informado",11,2004,192
"9","cod_abaste_agua_domic_fam_eq","Não informado",11,2005,1740
"10","cod_abaste_agua_domic_fam_eq","Não informado",11,2006,6111
"11","cod_abaste_agua_domic_fam_eq","Não informado",11,2007,3159
"12","cod_abaste_agua_domic_fam_eq","Não informado",11,2008,65
"13","cod_abaste_agua_domic_fam_eq","Não informado",11,2009,24
"14","cod_abaste_agua_domic_fam_eq","Não informado",11,2010,7
"15","cod_abaste_agua_domic_fam_eq","Não informado",11,2011,1622
"16","cod_abaste_agua_domic_fam_eq","Não informado",11,2012,5510
"17","cod_abaste_agua_domic_fam_eq","Não informado",11,2013,8018
"18","cod_abaste_agua_domic_fam_eq","Não informado",11,2014,8463
"19","cod_abaste_agua_domic_fam_eq","Não informado",11,2015,5359
"20","cod_abaste_agua_domic_fam_eq","Não informado",12,2001,14092
"21","cod_abaste_agua_domic_fam_eq","Não informado",12,2003,135
"22","cod_abaste_agua_domic_fam_eq","Não informado",12,2004,181
"23","cod_abaste_agua_domic_fam_eq","Não informado",12,2005,1693
"24","cod_abaste_agua_domic_fam_eq","Não informado",12,2006,15288
"25","cod_abaste_agua_domic_fam_eq","Não informado",12,2007,1258
"26","cod_abaste_agua_domic_fam_eq","Não informado",12,2008,27
"27","cod_abaste_agua_domic_fam_eq","Não informado",12,2009,10
"28","cod_abaste_agua_domic_fam_eq","Não informado",12,2010,4
"29","cod_abaste_agua_domic_fam_eq","Não informado",12,2011,610
"30","cod_abaste_agua_domic_fam_eq","Não informado",12,2012,2355
"31","cod_abaste_agua_domic_fam_eq","Não informado",12,2013,1956
"32","cod_abaste_agua_domic_fam_eq","Não informado",12,2014,2658
"33","cod_abaste_agua_domic_fam_eq","Não informado",12,2015,1225
"34","cod_abaste_agua_domic_fam_eq","Não informado",13,2001,57334
"35","cod_abaste_agua_domic_fam_eq","Não informado",13,2003,1116
"36","cod_abaste_agua_domic_fam_eq","Não informado",13,2004,1067
